,고객ID,고객유형,거주지,시,구군,남여구분,판매유형,계약유형,유통경로,계약일,계약기간,납부유형,제품군,월랜탈비용,계약상태,연체건수,연체여부,결제은행,해약여부,계정수
1593,25758946,사업자,전라도,전라도, 순천시,여자,렌탈,프로모션,서비스 방문,12-29-2014,60,CMS,DES-2,90900,계약확정,0,없음,농협중앙회,정상,10
1594,25758946,사업자,전라도,전라도, 순천시,여자,렌탈,프로모션,서비스 방문,12-29-2014,60,CMS,DES-1,142200,계약확정,0,없음,농협중앙회,정상,10
1595,25740737,사업자,경기도,경기도, 시흥시,여자,렌탈,프로모션,영업방판,11-14-2014,60,CMS,DES-1,124200,계약확정,0,없음,농협중앙회,정상,1
1596,25740848,사업자,서울특별시,서울특별시, 용산구,여자,렌탈,일반,영업방판,11-14-2014,60,CMS,DES-1,96900,계약확정,0,없음,우리은행,정상,1
1597,25752647,사업자,강원도,강원도, 원주시,여자,렌탈,일반,렌탈총판,11-14-2014,60,CMS,DES-1,96900,계약확정,0,없음,국민은행,정상,1
1598,25861041,사업자,전라도,전라도, 장수군,여자,렌탈,일반,일반,11-14-2014,60,CMS,DES-1,96900,계약확정,0,없음,농협회원조합,정상,2
1599,25861041,사업자,전라도,전라도, 장수군,여자,렌탈,일반,일반,11-14-2014,60,CMS,DES-1,96900,계약확정,0,없음,농협회원조합,정상,2
1600,25740584,사업자,전라도,전라도, 전주시 완산구,여자,렌탈,일반,서비스 방문,11-14-2014,60,CMS,DES-1,96900,계약확정,0,없음,기업은행,정상,2
1601,25740584,사업자,전라도,전라도, 전주시 완산구,여자,렌탈,프로모션,서비스 방문,11-14-2014,36,CMS,DES-2,102900,계약확정,0,없음,기업은행,정상,2
1602,25746947,사업자,경기도,인천광역시, 중구,여자,렌탈,프로모션,서비스 방문,11-14-2014,60,CMS,DES-1,118200,계약확정,0,없음,국민은행,정상,1
1603,25740603,사업자,경상도,울산광역시, 중구,여자,렌탈,일반,R빌리미,11-14-2014,60,CMS,DES-1,124200,계약확정,3,있음,국민은행,정상,1
1604,25739445,사업자,충청도,충청도, 청주시 상당구,여자,렌탈,프로모션,영업방판,11-14-2014,60,카드이체,DES-1,142200,계약확정,0,없음,삼성카드,정상,1
1605,25740604,사업자,경기도,경기도, 하남시,여자,렌탈,일반,서비스 방문,11-14-2014,60,CMS,DES-1,96900,계약확정,0,없음,하나은행,정상,1
1606,25864525,사업자,경기도,경기도, 화성시,여자,렌탈,프로모션,영업방판,11-14-2014,60,지로,DES-1,142200,계약확정,0,없음,외환은행,정상,3
1607,25864525,사업자,경기도,경기도, 화성시,여자,렌탈,통합 패키지,영업방판,11-14-2014,60,지로,DES-1,89400,계약확정,0,없음,외환은행,정상,3
1608,25864525,사업자,경기도,경기도, 화성시,여자,렌탈,통합 패키지,영업방판,11-14-2014,60,지로,DES-2,89400,계약확정,0,없음,농협회원조합,정상,3
1609,25740536,사업자,서울특별시,서울특별시, 강남구,여자,렌탈,일반,렌탈총판,11-15-2014,60,CMS,DES-1,96900,계약확정,0,없음,하나은행,정상,1
1610,25740542,사업자,서울특별시,서울특별시, 강동구,여자,렌탈,일반,서비스 방문,11-15-2014,60,카드이체,DES-1,118200,계약확정,0,없음,BC카드,정상,2
1611,25740542,사업자,서울특별시,서울특별시, 강동구,여자,렌탈,일반,서비스 방문,11-15-2014,60,카드이체,DES-1,118200,계약확정,0,없음,BC카드,정상,2
1612,25722080,사업자,서울특별시,서울특별시, 강동구,여자,렌탈,일반,서비스 방문,11-15-2014,60,CMS,DES-1,96900,계약확정,0,없음,하나은행,정상,1
1613,25762248,사업자,경상도,경상도, 거제시,여자,렌탈,일반,서비스 방문,11-15-2014,60,CMS,DES-2,87900,계약확정,4,있음,부산은행,정상,2
1614,25762248,사업자,경상도,경상도, 거제시,여자,렌탈,일반,서비스 방문,11-17-2014,60,CMS,DES-2,87900,계약확정,4,있음,부산은행,정상,2
1615,25738566,사업자,경기도,인천광역시, 계양구,여자,렌탈,일반,일반,11-15-2014,60,CMS,DES-1,96900,계약확정,0,없음,우리은행,정상,1
1616,25867003,사업자,경기도,경기도, 고양시 덕양구,여자,렌탈,프로모션,일반,11-15-2014,60,CMS,DES-1,96900,계약확정,0,없음,농협회원조합,정상,1
1617,25740906,사업자,경기도,경기도, 고양시 덕양구,여자,렌탈,통합 패키지,홈쇼핑/방송,11-15-2014,60,CMS,DES-1,81900,계약확정,1,있음,기업은행,정상,2
1618,25740906,사업자,경기도,경기도, 고양시 덕양구,여자,렌탈,통합 패키지,홈쇼핑/방송,11-15-2014,60,CMS,DES-2,81900,계약확정,1,있음,기업은행,정상,2
1619,25741129,사업자,전라도,전라도, 고창군,여자,렌탈,프로모션,서비스 방문,11-15-2014,36,CMS,DES-2,102900,계약확정,0,없음,농협중앙회,정상,1
1620,25740641,사업자,서울특별시,서울특별시, 구로구,여자,렌탈,통합 패키지,렌탈총판,11-15-2014,60,카드이체,DES-1,107700,계약확정,0,없음,국민카드,정상,2
1621,25740641,사업자,서울특별시,서울특별시, 구로구,여자,렌탈,통합 패키지,렌탈총판,11-15-2014,60,카드이체,DES-2,89400,계약확정,0,없음,국민카드,정상,2
1622,25781110,사업자,서울특별시,서울특별시, 금천구,여자,렌탈,일반,일반,11-15-2014,60,CMS,DES-1,96900,계약확정,0,없음,농협회원조합,정상,3
1623,25781110,사업자,서울특별시,서울특별시, 금천구,여자,렌탈,일반,일반,11-15-2014,60,CMS,DES-1,96900,계약확정,0,없음,농협회원조합,정상,3
1624,25781110,사업자,서울특별시,서울특별시, 금천구,여자,렌탈,일반,일반,11-15-2014,60,CMS,DES-1,96900,계약확정,0,없음,농협회원조합,정상,3
1625,25795461,사업자,서울특별시,서울특별시, 금천구,여자,렌탈,일반,일반,11-15-2014,60,CMS,DES-1,96900,계약확정,0,없음,우리은행,정상,1
1626,25865020,사업자,서울특별시,서울특별시, 금천구,여자,렌탈,교체렌탈,서비스 방문,11-15-2014,60,CMS,DES-1,96900,계약확정,0,없음,농협중앙회,정상,2
1627,25865020,사업자,서울특별시,서울특별시, 금천구,여자,렌탈,프로모션,서비스 방문,11-18-2014,60,CMS,DES-2,90900,계약확정,0,없음,농협중앙회,정상,2
1628,25740605,사업자,경상도,부산광역시, 남구,여자,렌탈,프로모션,영업방판,11-15-2014,60,CMS,DES-1,111900,계약확정,0,없음,하나은행,정상,2
1629,25740605,사업자,경상도,부산광역시, 남구,여자,렌탈,프로모션,영업방판,11-17-2014,60,CMS,DES-1,111900,계약확정,0,없음,하나은행,정상,2
1630,25785138,사업자,서울특별시,서울특별시, 노원구,여자,렌탈,일반,서비스 방문,11-15-2014,60,CMS,DES-1,96900,계약확정,0,없음,신한은행,정상,1
1631,25859138,사업자,경상도,대구광역시, 달서구,여자,렌탈,프로모션,서비스 방문,11-15-2014,60,카드이체,DES-2,90900,계약확정,0,없음,기업은행,정상,1
